,Mes,Inflacion,Desempleo,Expectativa_Inflacion,M1,expectativa inflacion mes siguiente,indice real de remuneraciones,Inflacion_anterior,Z,Inflacion_pred,Inflacion_pred_restr
0,2010-03-01,0.1,9.2275980636192,0.8,14743.66,0.5,-0.201764646443,0.1,0.7000000000000001,0.7398688297969268,0.8097444007051963
1,2010-04-01,0.5,8.836054099283,0.7,15710.88,0.4,0.4424914227905,0.1,0.6,0.5220099862916175,0.590266515726786
2,2010-05-01,0.4,9.0877307261896,0.4,16219.97,0.3,0.1363535236157,0.5,-0.09999999999999998,0.19995284623948106,0.24001626647664015
3,2010-06-01,0.0,8.6560640009262,0.3,15954.8,0.3,0.1708407221004,0.4,-0.10000000000000003,0.13073909683024387,0.1553054107312935
4,2010-07-01,0.6,8.5111787141127,0.5,15583.52,0.2,0.0480376120429,0.0,0.5,0.43973826255289783,0.47324761827058
5,2010-08-01,-0.1,8.4362750412026,0.4,15505.63,0.5,0.336221244981,0.6,-0.19999999999999996,0.173216189222115,0.21698062398253865
6,2010-09-01,0.4,8.1245686923359,0.405,15773.93,0.225,0.3358639611981,-0.1,0.505,0.3190441835904695,0.34245245348556075
7,2010-10-01,0.1,7.8146967084653,0.2,15867.95,0.1,0.1957789255103,0.4,-0.2,0.07205447606091908,0.08135061557417517
8,2010-11-01,0.1,7.2250504372039,0.14,15881.75,0.1,0.1374781978867,0.1,0.04000000000000001,0.11023680427124782,0.10027529885739826
9,2010-12-01,0.1,7.2101288890971,0.03,16888.29,0.1,0.8765118717907,0.1,-0.07,-0.1614527519557888,-0.17035374180350424
10,2011-01-01,0.3,7.4417617188178,0.12,16969.14,0.1,0.2914438626999,0.1,0.01999999999999999,0.048424100958378125,0.03951501461876261
11,2011-02-01,0.2,7.4427693646653,0.2,16665.49,0.5,0.251011568614,0.3,-0.09999999999999998,0.1037648171614145,0.10883470264213818
12,2011-03-01,0.8,7.5481165580962,0.7,16806.06,0.4,-0.410519844374,0.2,0.49999999999999994,0.7785867924738334,0.8252827069849278
13,2011-04-01,0.3,7.2111118602051,0.4,17498.7,0.4,0.2396163881363,0.8,-0.4,0.2451826826974487,0.2844952129133216
14,2011-05-01,0.4,7.3047634518804,0.4,17341.22,0.4,-0.515721576278,0.3,0.10000000000000003,0.4931446850100812,0.5047464751792394
15,2011-06-01,0.2,7.2122553970482,0.3,17425.15,0.3,0.4487326683262,0.4,-0.10000000000000003,0.16371473812092263,0.18491527324451934
16,2011-07-01,0.1,7.5533693014775,0.3,16882.18,0.3,0.7164979994416,0.2,0.09999999999999998,0.11482954607997653,0.13802326641977736
17,2011-08-01,0.2,7.5146494707645,0.2,16960.34,0.4,0.2046219074423,0.1,0.1,0.14586127719873293,0.14473968886658428
18,2011-09-01,0.5,7.6263811757401,0.4,17409.87,0.2,0.1700651608548,0.2,0.2,0.33844903268887533,0.36234180488328444
19,2011-10-01,0.5,7.4366909896981,0.3,17277.574,0.1,-0.306265471346,0.5,-0.2,0.30063632898258574,0.31115563036507654
20,2011-11-01,0.3,7.3319133368942,0.1,17515.532,0.0,0.1178977292932,0.5,-0.4,0.007419390060612097,0.002751387327541821
21,2011-12-01,0.6,6.8146096671283,0.1,18838.809,0.1,0.5998541312937,0.3,-0.19999999999999998,-0.027164046292356803,-0.031639290868969494
22,2012-01-01,0.1,6.853915676547,0.2,18495.977,0.1,0.790396027541,0.6,-0.39999999999999997,-0.022440006789762545,-0.0032099346816428787
23,2012-02-01,0.4,6.5283728037424,0.1,18314.482,0.5,-0.235192500389,0.1,0.0,0.2077095958714157,0.18040143317848484
24,2012-03-01,0.2,6.7973028961148,0.5,18901.823,0.3,0.4507196626769,0.4,0.09999999999999998,0.40276882729534014,0.44339775306685436
25,2012-04-01,0.1,6.7636742906146,0.2,19522.038,0.4,0.0176258127964,0.2,0.0,0.2299546333517985,0.22198252479724806
26,2012-05-01,0.0,6.9418393842258,0.36,19682.287,0.3,0.2072640660675,0.1,0.26,0.3600496334865191,0.3720432957958488
27,2012-06-01,-0.3,6.7812921942007,0.2,18593.427,0.2,0.514480553192,0.0,0.2,0.1471923955864387,0.14425199371890518
28,2012-07-01,0.0,6.6649669414834,0.0,18299.087,0.2,1.1481971205199,-0.3,0.3,-0.1435065750628961,-0.16537752910037914
29,2012-08-01,0.2,6.5384289832067,0.2,18436.463,0.4,0.3092913921854,0.0,0.2,0.20664868692807048,0.19854150405171103
30,2012-09-01,0.8,6.5762953945396,0.565,18606.349,0.3,-0.372823403687,0.2,0.36499999999999994,0.6994842117010974,0.7250584988011948
31,2012-10-01,0.6,6.6949333295345,0.3,18285.029,0.2,-0.308997768138,0.8,-0.5,0.29987621670285414,0.3138088321358078
32,2012-11-01,-0.5,6.3597240604042,0.05,18823.824,0.2,1.0720827557732,0.6,-0.5499999999999999,-0.20843982551923246,-0.2036291411245823
33,2012-12-01,0.0,6.2246556879872,0.12,20560.455,0.1,1.0697908788297,-0.5,0.62,0.0713461964498514,0.05207654012752516
34,2013-01-01,0.2,6.119549592693,0.1,19744.56,0.1,0.3717719642064,0.0,0.1,0.12214022543970537,0.10067729999652282
35,2013-02-01,0.1,6.354761938598,0.2,19858.759,0.4,-0.055012669369,0.2,0.0,0.27260293797699797,0.2607899954963743
36,2013-03-01,0.4,6.4261089083845,0.4,20124.518,0.2,0.2608802229278,0.1,0.30000000000000004,0.4227876899090568,0.4372955247826962
37,2013-04-01,-0.5,6.5390100414664,0.1,20023.043,0.2,0.8119970956829,0.4,-0.30000000000000004,-0.06843684902752811,-0.06841871463459614
38,2013-05-01,0.0,6.5412356813197,0.1,21102.001,0.2,0.0947548181125,-0.5,0.6,0.25229954486828593,0.21303416257616326
39,2013-06-01,0.6,6.2605406935358,0.3,21265.88,0.2,-0.66437876335,0.0,0.3,0.5596691402905011,0.5403286286686394
40,2013-07-01,0.3,5.8831519808406,0.25,20679.348,0.2,0.287291950868,0.6,-0.35,0.2119677009725719,0.22026590553015496
41,2013-08-01,0.2,5.8489625959424,0.3,20623.716,0.5,0.8305884081458,0.3,0.0,0.19565334044896132,0.2119057117565788
42,2013-09-01,0.5,5.8604966913638,0.525,21250.27247575,0.3,-0.026354016959,0.2,0.325,0.6388793062231254,0.6608537371006249
43,2013-10-01,0.1,5.9526644251095,0.1,20704.513217029,0.2,-0.141529793386,0.5,-0.4,0.1661193039016292,0.1466564453088131
44,2013-11-01,0.4,5.8648368756726,0.1,21223.5257,0.1,0.0596046506,0.1,0.0,0.1982437836180299,0.1709479053172832
45,2013-12-01,0.6,5.7817319689281,0.2,22784.371,0.1,0.5798204043834,0.4,-0.2,0.14755595980189595,0.1482922906953617
46,2014-01-01,0.2,6.2314665991056,0.2,22293.12072115,0.1,0.6734643818276,0.6,-0.39999999999999997,0.06250590807279577,0.07327167010658686
47,2014-02-01,0.5,6.1846947292971,0.2,22237.759,0.4,-0.249267451979,0.2,0.0,0.33961833436530564,0.3213124952047259
48,2014-03-01,0.8,6.4964041476347,0.5,22955.03085,0.2,-0.027794659215,0.5,0.0,0.5333347916132439,0.5626907309745622
49,2014-04-01,0.6,6.1441471565352,0.2,22574.51575,0.2,-0.196754178341,0.8,-0.6000000000000001,0.22907186634239396,0.22765439065795423
50,2014-05-01,0.3,6.324242958052,0.3,23713.04515,0.2,-0.081034044144,0.6,-0.3,0.33640802822612237,0.34324724307677623
51,2014-06-01,0.1,6.5178319122478,0.2,23163.723,0.2,0.0452911378245,0.3,-0.09999999999999998,0.24197006352891587,0.23318984599782439
